Validation_Set,Topics,Alpha,Beta,Coherence
15% dataset,4,0.31,0.01,0.25218115189565027
15% dataset,4,0.31,0.31,0.25800510161136375
15% dataset,4,0.31,0.61,0.2631128676455501
15% dataset,4,0.31,0.9099999999999999,0.38194741120402037
15% dataset,4,0.31,symmetric,0.24785341452413986
15% dataset,4,0.61,0.01,0.2437942779420864
15% dataset,4,0.61,0.31,0.23588261178473202
15% dataset,4,0.61,0.61,0.25714701150943153
15% dataset,4,0.61,0.9099999999999999,0.2557628396166253
15% dataset,4,0.61,symmetric,0.24517267354266015
15% dataset,4,0.9099999999999999,0.01,0.2473176869520051
15% dataset,4,0.9099999999999999,0.31,0.24329978054260243
15% dataset,4,0.9099999999999999,0.61,0.28882982276391983
15% dataset,4,0.9099999999999999,0.9099999999999999,0.2884611678513012
15% dataset,4,0.9099999999999999,symmetric,0.2457837736436512
15% dataset,4,symmetric,0.01,0.24010334442276804
15% dataset,4,symmetric,0.31,0.24084977057293477
15% dataset,4,symmetric,0.61,0.3008517626434988
15% dataset,4,symmetric,0.9099999999999999,0.28744217948777606
15% dataset,4,symmetric,symmetric,0.24152586468389878
15% dataset,4,asymmetric,0.01,0.24071003088416448
15% dataset,4,asymmetric,0.31,0.23750125756790436
15% dataset,4,asymmetric,0.61,0.2628493257655532
15% dataset,4,asymmetric,0.9099999999999999,0.2749467412817927
15% dataset,4,asymmetric,symmetric,0.2449966608501269
15% dataset,5,0.01,0.01,0.24565737871593937
15% dataset,5,0.01,0.31,0.25378953616230043
15% dataset,5,0.01,0.61,0.2428202040190838
15% dataset,5,0.01,0.9099999999999999,0.27796010813507255
15% dataset,5,0.01,symmetric,0.2414992006991577
15% dataset,5,0.31,0.01,0.2449260338167154
15% dataset,5,0.31,0.31,0.2825253377405447
15% dataset,5,0.31,0.61,0.26012317837416665
15% dataset,5,0.31,0.9099999999999999,0.23767842147020687
15% dataset,5,0.31,symmetric,0.24343608359981522
15% dataset,5,0.61,0.01,0.2394624783049987
15% dataset,5,0.61,0.31,0.2523414766426024
15% dataset,5,0.61,0.61,0.25639864289216074
15% dataset,5,0.61,0.9099999999999999,0.25856915714568734
15% dataset,5,0.61,symmetric,0.2464320737683514
15% dataset,5,0.9099999999999999,0.01,0.24372045159051275
15% dataset,5,0.9099999999999999,0.31,0.2765043213557411
15% dataset,5,0.9099999999999999,0.61,0.31002527536246205
15% dataset,5,0.9099999999999999,0.9099999999999999,0.3236357481948525
15% dataset,5,0.9099999999999999,symmetric,0.24203313279675806
15% dataset,5,symmetric,0.01,0.2514435550207186
15% dataset,5,symmetric,0.31,0.28982878612791696
15% dataset,5,symmetric,0.61,0.27826573228300194
15% dataset,5,symmetric,0.9099999999999999,0.363055778476559
15% dataset,5,symmetric,symmetric,0.24460423673231815
15% dataset,5,asymmetric,0.01,0.24382645712426623
15% dataset,5,asymmetric,0.31,0.2407184146887839
15% dataset,5,asymmetric,0.61,0.27287239062672486
15% dataset,5,asymmetric,0.9099999999999999,0.3300591342089899
15% dataset,5,asymmetric,symmetric,0.23566654387129726
15% dataset,6,0.01,0.01,0.2492289628738974
15% dataset,6,0.01,0.31,0.2521567848219837
15% dataset,6,0.01,0.61,0.34141824124605685
15% dataset,6,0.01,0.9099999999999999,0.30687460928214344
15% dataset,6,0.01,symmetric,0.2350807075679678
15% dataset,6,0.31,0.01,0.24849233412145236
15% dataset,6,0.31,0.31,0.25650452260432743
15% dataset,6,0.31,0.61,0.32964798924950883
15% dataset,6,0.31,0.9099999999999999,0.2766068839446694
15% dataset,6,0.31,symmetric,0.2513544031850248
15% dataset,6,0.61,0.01,0.24317335380464492
15% dataset,6,0.61,0.31,0.2506790507764531
15% dataset,6,0.61,0.61,0.29526342049630433
15% dataset,6,0.61,0.9099999999999999,0.30251812315053495
15% dataset,6,0.61,symmetric,0.24886150535390453
15% dataset,6,0.9099999999999999,0.01,0.24659061595408002
