Fic number,Character name,Times mentioned
0,",well.Itlooksliketherumoursweretrue,afterall.APrinceofHell,whoringherselfupforanangel,’oneofthemhadleeredather.Shefelthershoulderstense.Sheclosedhereyes,drewinadeepbreathandtriedtoassesthesituation.Therewerethreeofthem.Theywerelowleveldemonshowever,soshewasfairlycertainshecouldtakethem.Andtheywererightbehindher,inthemouthonanalley.Nooneelsewasaroundsoshedidn’tneedtoworryherselfwithallofthattediousmemorywiping.Shebuzzedabit,alightwithHellishfury.Therewasareasonshehadchosentopresentherselfinfemaleform.Andthatreasonwasthatthroughoutalloftime,eversincecreationitself,womenhavebeenseenasanecessaryevil.Allofthesinsofmankind?Well,wehaveEvetoblameforthat.ThatawfulmesswiththeTrojanWars?Oh,anotherwomanthereaswell.Noonetalkedabouthungrypowergrabsandstrategicinterestsandthelike.Nono,itwas",1
0,"sfacethatlaunchedthoseships,notpower-hungrybastards.There’saplaguegoingon?Oh,itmustbeallofthosecourtesans.Civilunrestandhorriblelivingconditions?Well,ithadtobewitches,didn’tit?Shehadpersonallymadesurethatallofthose“lovely”Inquisitionpeopleweregiventhe“best”spots",1
0,hadtooffer.Paidthemavisitquiteregularly.Andshehadwitnesseditthroughouthistorytimeandtimeagain.Womenbeingsoldorexchangedascommongods.Womenbeingproperty.Womenbeingstonedtodeathforthesimplefaultofbeingawomaninthefirstplace.Shesupposedthingsweregettingsomehowalittlebitbetternow.By0.1%sinceinthebrighteraoftheinternetsomethinglikevictimshamingstartedhappeningallovertheplace._Allofthosebloodyhashtags_.,1
0,"saidthatheinventedthose.Inretrospecthehadbeenlyingthroughhisteeth,_thatsoftsonofabitch_.Shehadalwayshadasoftspotforthe_hah!_gentlersex._Whatafuckinglaugh,eventhat_.‘",1
0,"sheenjoysgettingroughedupabit,ain’tthatright,mahPrince?’‘AndnowthatHelldoesn’tcareaboutprotecting‘eranymore…’Thatdidit.Hereyessnappedopenand-ifonelookedatherclosely-theycouldseetheywereallbutblazingred._She’dshowthemgentle_.InmaybeamillisecondshegrabbedattheStoptrafficsignpolemaybeameterawayfromherandsnappeditinhalf._What’salittleirontoapowerfuldenizenoftheUnderworld?_Thenshespunonherheelsandswungithardatthefirstdemon’shead.Someveryfamousbaseballplayerswouldhavepaidhergoodmoneyforsomelessons.Hecrumpledtothegroundwithanobviouslybashedinhead.Beforegivingthemanytimetorethinkorregroupsherolledthesignpostaroundsothatthestickyendwasinthefrontnowandpushedithardintotheseconddemon’sstomach,impalinghimtothesideofabuilding.Shethoughtitwaswedgedmaybehalfameterdeepinthebrickworkaswell,shewasthatangry._Fuming_.Shefelttheheatallaroundheranddrewitin,deeplyinhalingasshedidso.Thethirddemonquicklyrealisedwhatwasabouttohappenandstartedtodrawbackinthealleytheycamefrom.Therewereonlytwoproblems.Thefirstonewasthatwhen",1
0,"fixedhereyesonhimhebecamescaredshitlessandapparentlycouldn’tproperlycontrolhislegsanymore,sohestumbledbackwards,continuingtoretreatbypushinghimselfbackwiththeheelsofhishands,allsprawledontheground.Thesecondonewasthatthiswasadeadend.",1
0,smiledwidelyandnotatallpleasantlyandthenblewdownHellfireallovertheterrifieddemon.Sheeyedtheothertwoanddidthesame.LastthingshewantedwastohavepeoplemakinginquiresabouttwodeaddemonsinthemiddleofLondonandbroadcastingitalloverthefuckingnews.Shedidn’tdoanythingaboutthetrafficsignandintheweeksthatfollowedtherewasquitealotoftalkgoingononTwitteraboutsuperheroesormutantsbeingathingasalotofpictureswerebeingexchangedandretweetedwithastopsignwedgedquiteforcefullyinthesideofabuilding.Butshecouldn’tbebotheredaboutthat.Shehadplacestobe.AndArchangelstotempt.Shebrushedthenone-existinglintoffoneofhershouldersandheadedtoStJames.***Shehadunconsciouslycrossedherarmsacrossherchestandfrowned.‘,1
0,"?’‘What?’Sherealisedshehadn’tpaidmuchmindtowhattheArchangelhadbeensayingforthelastcoupleofminutesandjerkedinsurpriseashefeltahandonherforearm.Shedidn’tmuchlikewhenpeopletouchedherwithoutherconsent.Itwasveryobvioustoherwhythatwas,ifwewentbyherlaterinteraction,atleast.‘Iseverythingalright?Youmentioneddemons.Andstorytime.’‘What?Ah,_that_.Yeah,Idon’twanttotalkaboutitanymore.’‘Areyousureaboutthat?’‘Ijustdiscorporated3demons.There.Storyover.’‘Whathappened?Didtheytrytohurtyou?Isitaboutwhatyousaidbackthen?AboutHellwantingyourheadonaplatter?Causeyouneedtobemorecarefulifthat’strue.DidtheDarkCouncilsendthem?’‘",1
0,"tyouactinglikeamotherhen?No,theDarkCouncildidn’tsendthem.Or,iftheydid,theyareevenstupiderthanIthought.Ittookmeminutes,Gabe.IftheDarkCouncilwantsyouroyallyfuckedupandtrustme,_theydo_,theyshouldtrytodobetterthanthat.’‘Butaren’tyou-’‘ItoldyouIdon’twanttotalkaboutit.’Shesawthismomentasgoodatimeasanytobrushthetipofherbootonhiscalf.‘",1
0,",’hegulped.‘Iwouldliketotalkaboutotherstuff,ifyou'reareamendable.’Henodded,desperately.‘",1
